favorite_count,retweet_count,tweet_id
35508,7507,892420639486877696
30742,5570,892177413194625024
23102,3690,891815175371796480
38790,7683,891689552724799489
37075,8292,891327551943041024
18692,2777,891087942176911360
10865,1801,890971906207338496
59856,16805,890729118844600320
25705,3827,890609177319665665
29361,6527,890240245463175168
28285,6526,890006600089468928
25727,4444,889880888800096258
44228,8910,889665366129029120
24871,3980,889638825424826374
13985,2012,889531127467266049
23218,4752,889278779352338437
26828,3999,888917229776945152
23537,3772,888804981515575296
18166,3083,888554915546542081
20066,3090,888078426338406400
27907,4805,887705281597243393
42741,10502,887517108413886465
63280,16020,887473949361045505
31028,9368,887343120832229379
28230,5314,887101385971384320
32103,6817,886983218871902208
11013,2840,886736868116754432
20730,3990,886680331239161856
19469,2820,886366138128449536
25779,5633,886258377298292737
30014,5990,885984792034004992
33126,5700,885528931826368512
0,16483,830583314243268608
20164,3886,885167573385588737
70926,16078,884925516695965696
25622,4967,884876742820859904
22402,4190,884562886777065473
24964,5079,884441800177528832
18818,2663,884162662212489221
20127,3045,883838118432034816
42234,8804,883482838036860928
20892,3287,883360682745503744
34157,5925,883117826525024257
22009,3461,882992072327913472
26034,4355,882762686299353088
25827,5417,882627261886758912
41303,10323,882268100984492032
27020,4342,882045864507736065
22448,3033,881906570426281984
46693,9519,881666587375304705
45600,14264,881535971568889856
21457,4716,881268439486169090
15778,2497,880935758152028161
19624,3417,880872431472267264
26228,5535,880465790071427074
24848,3711,880221119067770882
25472,3880,880095777175076864
20638,3110,879862459263307776
21665,2839,879492035853660161
97546,39786,879415784908390401
15527,2795,879376482266632192
20813,4195,879050744279834628
17558,2392,879008224678207491
17875,3650,878776084946448384
7135,1138,878281503754510336
38873,6077,878057599261745152
73077,16908,877736466763448320
0,71,876850756556607488
20956,3404,877556240326512640
25348,4658,877316816103772164
25029,4979,877201827330174976
19119,2984,876838110318936065
17364,2116,876484043352588288
25875,4175,876120269428932608
23200,3824,875747755280318464
20296,4396,875144175078957056
23596,4222,875021140921417728
25747,4156,874680081829904384
24115,3703,874296776056078336
21041,3571,874057549548589057
31679,9161,874012990328197120
22439,3545,873580279771926529
6633,1421,873213769794670593
25246,4869,872967099819462661
13666,3346,872820673743376386
19223,3279,872620798208610305
37807,8149,872486967967006720
31780,7297,872122708573777925
34834,9857,871879745683804161
18773,3145,871762515608436741
18742,3135,871515922741284865
21151,3447,871032610994225153
31293,5608,870804299743338497
11480,2371,870656293136216066
77311,24068,870374041554751488
20414,3760,870308992022568960
34010,7530,870063191304392704
39698,9191,869772408907071492
26303,5708,869702951354474496
14881,2825,869596640562249728
19049,3426,869227980345798656
60946,13099,868880391209275392
24846,4806,868622480696651777
9402,1877,868552270358618113
22616,3813,867900486011297792
31736,6683,867774933065236480
15034,2273,867420991437365250
0,109,865013414103363585
30110,7206,867051512509460480
18004,3172,866686816879087618
114380,32228,866450698984185856
48960,13010,866334954229301248
24054,5155,865718147889979392
24792,4578,865359385135955968
26260,7069,865006724092010496
30240,7966,864873202618687489
13686,2762,864279556340957184
28102,8100,864197387966791680
19338,3806,863907404156518400
14328,3851,863553036815355904
22328,4814,863432092616491008
8243,1023,863079538779013120
7931,2226,863062462383378432
18016,4740,862831346963447808
16080,3269,862722516858445824
19192,4534,862457580722860032
69744,21363,862096984366354432
33968,9880,861383888685236224
16160,3819,861288473281437696
15718,3533,861005103205031937
0,735,860914470050295814
7068,1981,860563764940226560
22307,4910,860524497660776448
17372,3254,860276575736020992
15723,5421,860184837587517440
18530,3813,859924516142804992
14597,3274,859851567826169857
17616,1443,859607806428803077
84923,28008,859196962498805762
31980,12688,859074595021836288
14792,3237,858843519850614784
20398,4530,858471621065150464
14939,2696,858107922668277760
15235,2422,857989982342057986
32491,9940,857746390159675396
5592,1537,857393395161067520
19084,4235,857263152219791360
17923,3725,857029813072252928
15575,2703,856543816828018689
11311,1768,856526604033556482
26433,5903,856282018912628741
43736,17024,855851444666236933
28452,7756,855459446566400000
21756,5725,854732704503431168
27983,6458,854482381390073856
18091,4441,854365212241043457
30652,7057,854120347066548224
15585,2988,854010162683707392
27416,5458,853760873545973760
33266,9489,853639138628837376
14881,3379,853299949064388608
8663,1713,852912235101921280
14363,2056,852672601419911169
15678,3308,852553437929721865
31917,9482,852311356040765442
19283,6533,852223481894903808
11062,1517,852189646159327233
0,19,848289376614404097
15714,3310,851591634672287744
23412,6749,851464803281489921
19992,5489,851224878485315584
29727,8697,850753625559322625
12666,2490,850380153985355777
15800,3633,850145600721047552
19762,4670,850019779427667968
29419,7273,849776958493818880
15385,3023,849412289417494528
11077,1817,849336535245877248
41043,8132,849051911668064256
24441,4164,848690539105071104
23981,4453,848324954202439680
15845,2907,848212097242615808
0,420,847970989635928064
22867,4885,847962765348052992
5272,1272,847842804353032196
18260,3301,847606161679331329
19945,4169,847251028009336833
19346,5646,847157199944208384
20887,3071,847116177323253760
19543,3782,846874803135021056
43372,11120,846514034648190977
30716,8706,846153751811387393
15564,2763,846042902916583425
28456,8383,845812035082440705
24577,4642,845677937315713024
7429,1727,845397049587699714
22746,5201,845306874031476736
13314,2462,844979535204429824
14680,3070,844973805558685696
16066,3016,844580505345511424
13355,2118,844223764510334976
20948,4475,843856835564240896
16500,2656,843604386559348738
21021,5832,843235535846031360
14957,3521,842846286093209601
6573,1231,842765306540052480
17725,3407,842535582697971714
23917,5608,842163518233292801
13670,2933,842115183262736384
0,14594,817423809049493505
25218,7597,841680565212454913
12376,3567,841439843452387328
15521,4514,841311812641533952
22384,5159,841077001360461824
12042,947,840696683398746112
8818,1713,840632328313495553
16124,4429,840370672886923264
18888,5566,840267990708961280
13179,2213,839990262579396609
26940,7549,839549305585295362
0,140,839289900885282817
26607,6364,839239862192648194
10927,2001,838921573767618560
0,33,838905954309529600
10768,1302,838561486968668161
22076,4654,838476379071086592
17314,3046,838083881886633984
33462,7671,837820156113911808
3804,436,837482239088820224
12582,2220,837471224582262785
15786,2310,837110202889617409
12550,2253,836989950847512576
19035,4545,836753505905963010
12437,2181,836677701918392320
14536,2927,836380472099897348
20986,4216,836260074393747456
18795,4169,836001068119019522
17526,3545,835574540805763072
16228,2941,835297922317070336
7610,1656,835264086267072512
25780,5645,835172763019194370
22051,2942,835152428160978949
10644,1600,834931620566208513
21110,5398,834786230550290432
13446,2473,834574036302757888
9501,1641,834458045388378116
20282,4647,834209711306186752
15608,3594,834167335145570304
12879,2167,834086371694362625
13255,2363,833863075296067585
17842,3703,833826091328430080
20553,3165,833722895578886144
14675,2009,833479630938062852
19926,4755,833124662091542528
13072,2158,832998142459011073
0,39,832766375433154560
16656,3553,832757300183994371
15653,2733,832636085544955904
11814,2173,832397519002988544
16961,3143,832369869089800192
11199,2292,832273373149413377
0,9160,793286466235408384
0,9439,769940407350362112
17640,4581,832032796369645570
23679,6026,831939770607616000
27235,6382,831911578865848320
10299,1783,831670443132252160
7037,1886,831650039864885250
8865,2281,831552915512901632
9178,1531,831322776149430272
6467,1106,831314890077908992
11624,2424,831309408604868609
11765,2006,831262617675051009
7890,1472,830956118893543424
9677,2888,830097389742673920
0,4926,826958645422342144
12111,1912,829861385404309504
31372,10439,829501977667235840
10361,1980,829449933933666313
24119,7215,829141507319934977
52652,16078,829011938298429440
25325,5761,828770330328104960
36099,11003,828708704870555649
9411,1318,828650005158301697
6293,1151,828409725217865731
7604,1272,828408667334647809
12466,2186,828381626287656960
7307,1053,828376488684695552
12454,2892,828372634769440768
11636,2837,828046540409180160
10251,2125,828011664142393344
19896,5162,827933393308442624
15354,2986,827653897133101057
7401,930,827600501818671104
15704,2995,827324936784117760
10488,2197,827199955093843969
35958,10009,826848814229237760
9941,2312,826598343044452352
18238,4131,826476722593865729
13162,2575,826240471433412613
4834,911,826204706728968192
15512,3060,826115125966958597
10391,1844,825876488746565634
12644,2462,825829613733629956
56417,17358,825535037626056704
18152,4489,825147581856677888
6242,1237,825026580980314112
0,5442,795076720525279233
14788,3469,824775105737809920
10446,1756,824663919851687936
11735,10442,824325607026737152
14937,3816,824297040662450181
10547,2675,823939620815667201
13875,2496,823698991951056896
12929,2599,823581103512436736
15626,3973,823322663322079233
0,9789,822244810299936769
17211,3411,822975307724496896
130622,42730,822872859181809664
13161,2249,822859122781683714
0,6351,822489041455157248
14706,2928,822610349065179137
27778,14127,822462929555652610
11254,2284,821886054592552961
0,3349,780601293052190720
8361,1639,821765912948772865
7989,1742,821522878252384256
11692,4300,821407155391725568
8589,1952,821149477142556673
9551,2119,821107776281669633
12601,2256,821044517277233152
31372,9790,820749705474965509
12159,3200,820690162338279425
0,2554,800141411257643009
3331,561,820314599069138944
19712,6230,820078598778454020
5303,1167,819952225594261509
12854,4849,819924138965999617
13306,3085,819711336993198081
9611,1974,819588347551064066
7180,1195,819347090459463681
22955,6659,819227674182828033
0,36642,819004789207928832
0,18863,819006388206649344
22306,7492,818627201767710720
9790,2532,818614452752760832
0,6085,773547591439122432
10839,2434,818536454431260672
10965,2244,818259456588812288
12207,2555,818145346668916739
51395,26902,817827663108771841
10712,2670,817777588030476288
11727,2942,817536359321714688
5568,938,817415587425058816
0,8418,815965888126062592
8727,2012,817171279044313089
12179,2581,817120951791824896
8563,1634,817056537596207104
0,4696,790946047744966656
9964,2030,816816665971347457
9742,2171,816697633502658561
30320,8008,816450564926164996
8575,1936,816336726218117120
8906,2128,816091903011725312
0,5241,732005607704649728
4936,1012,815990706170904578
9822,2251,815736380588433408
8211,1646,815639378504589312
10334,3799,815390410663231493
7636,1274,814986493374636033
11234,2687,814638512821694464
8618,1853,814530153418203136
28698,8640,814152984946876416
0,3178,790277108719386624
9289,1860,813910431769251840
36366,13925,813812734823399424
8310,1752,813800671384391680
18625,7268,813217879311192066
9229,1813,813202711042818048
19831,4341,813187585275109376
9260,1916,813172481494134784
7773,2206,813157384998756352
8473,2378,813142281943252992
11814,3124,813127235553071104
10291,2731,813112099903782912
10580,3624,813096980234797056
9890,2781,813081915272073216
7939,1955,813066793606516737
20970,7344,813051729789014016
7559,1901,812781114158743552
6609,1436,812709052820099072
6062,1215,812503138594865152
7962,1937,812466868514619392
13648,3652,812372222392303616
7264,1399,811985615826714624
7532,1589,811744184822595584
12769,3075,811627196553035776
20909,6383,811386757417680897
5326,1439,810984648008466432
9003,1765,810896035115433984
10960,2640,810657562332954624
35199,11231,810284425116315648
14678,3377,810254102546489344
15556,3940,809920757623115780
0,4884,793962202520834048
6939,1467,809448667128074240
19931,5597,809220046199328768
13232,3529,809084648806457345
10127,3039,808838232662081536
7896,2166,808733489898004481
11325,2600,808501555154432000
0,5908,801167887901724672
8811,2213,808106447573843970
12531,3535,808001293671243776
14594,3612,807621395395944448
118236,55306,807106774843039744
0,7343,782969083092471809
13093,3868,807010136866902017
74626,34608,806629061598597121
10226,2362,806542203287957504
0,11615,783334603142598656
6447,1197,806219017505546240
0,5371,782722587017285632
8283,1926,805932861408694272
6565,1822,805826823359631360
5764,1658,805520626039619589
8803,2533,805487414768701441
7848,1719,805207605383602176
13718,3821,804738744741928960
0,3240,784826004988653570
44456,16108,804026231603785732
10074,2750,803773317803048960
0,7438,691416861947379712
10959,4150,803638023904559104
7771,1876,803380639571513345
10041,2456,803276589882572800
9015,1999,802952490266357760
0,2919,777684227185868800
8949,2505,802572675407376385
16196,5822,802323849832337408
6763,1377,802265039247904768
9084,2629,802239319792455680
7762,1723,801958320831508480
8240,2071,801538154108952576
6067,818,801285440351240192
8075,2107,801115094935449600
10582,2802,800751482706493448
13146,2989,800513314459525120
9518,2177,800459302930628608
0,4326,776113296390942720
11164,2813,800388246178004993
28394,13162,800018199223959552
0,4688,775085121305206785
8402,2173,799757951082721281
8088,1932,799422915762470912
9885,2757,799297094976577539
8089,2482,799063471937769472
13089,4458,798933932586782720
7524,1441,798925670629916672
0,6526,712809014606827520
0,4954,701214695424991232
0,5561,675501041127936000
0,3909,671896801591607296
0,1857,670444949847023616
0,1978,667509363477577728
0,3335,771770449999097856
10440,2568,798209828535541760
11597,3110,797971806841802752
14574,4877,797545138759139328
19984,6573,797236631975657472
7689,1928,796865939568373760
11829,3027,796759815062253568
7582,1762,796484810906615808
11006,4140,796387451484782592
0,14280,796149732779421699
9099,2414,796116435260952576
8460,2310,796080068686737408
10807,3723,796031477968412672
49625,23573,795464066940764160
10057,2871,795400250953527296
0,3373,789530855911882752
10257,2308,794926589897310208
0,10277,788765906553962498
9614,2686,794332306219696132
9234,3319,794205269047836673
9225,1863,793845129635332096
0,3130,791672307924209664
7987,1620,793601770836660225
10690,2372,793500909619806208
8710,2393,793271391365783552
19998,8335,793256253871034369
10524,3295,793241263780818944
9834,2886,793226051610669057
8929,2796,793210952363732998
15268,5626,793195928287055872
6941,1998,793180755497136128
9390,2786,793165673107161088
6184,1707,793150552360284160
6409,2498,793135477268291584
12664,3925,793120395666812928
14345,3984,792913326326026240
11310,4270,792883812854292481
7363,1679,792773773367906305
13438,4297,792394534248386560
7153,1795,792050052348907520
13155,4107,791406944514871298
8778,2535,791312150644027393
0,4091,763837560732971008
9824,2137,790987417641750529
0,2311,789986461038837761
8220,1926,790698747059548161
20673,7132,790581940780924928
7824,1882,790337582504763392
7495,1768,789628648391401472
6758,1924,789599232806223873
9125,2607,789268438468423680
9725,2789,789137928387698688
27438,12470,788908364977823744
15549,5256,788412135785267200
7233,2097,788178260857356288
6118,1282,788150566354583552
0,3430,761004543874392064
6127,1311,788039617207472128
8618,3047,787810541230227456
10268,2770,787717579116802050
10877,2846,787397946748833792
7766,1740,787322437922873345
26654,7967,786963058530906112
18213,6109,786709075132383232
10581,2546,786664949540159489
9448,3121,786595918321680384
10873,3490,786363218646138880
15221,4712,786233954131144704
0,6988,779834320894713856
11376,3175,785927792949071872
6688,1806,785872596088811520
7848,2238,785639740259303424
9099,1993,785533378355396613
7256,1617,785264731401646082
12008,4817,785170917014011904
8958,2527,784517508296478720
5709,1267,784431410685902849
29939,10732,783839953138683904
7350,1963,783821100060905476
10453,3198,783695093576368128
8432,2233,783466761438031873
16848,5445,783391725767262208
0,5511,674291829689331712
8144,2191,783085675914461188
7445,1406,782747129714532352
7765,1871,782598630494449665
16576,5521,782305851176525824
0,6161,707610936765390848
11096,3350,781955193151913988
10392,2702,781661833186930688
20665,5530,781524684185694209
8397,2073,781251271890235393
9772,2740,781163395106082816
21546,7261,780931599936458752
7158,1997,780858283800297472
5461,1296,780800773873668096
6270,1739,780543507299794944
0,3657,742423162642649089
0,112,780465675571605505
5275,1071,780459363064549377
8679,2226,780192040856543234
8754,3099,779377444025499652
14683,4506,779056089409196032
19847,7140,778990686406402048
6852,1296,778748901197160448
5732,1485,778650521737498624
4610,1005,778624895001436165
13558,4289,778408191155695616
0,12117,703041942922383361
5800,1094,778383379104407553
10310,3260,778286802910212101
8456,2616,778039065794977792
6516,1594,778027018185240576
6312,1616,777885031146586112
0,4200,750429289032642560
8680,2488,777621500824260608
14190,4275,777189753083092992
0,13559,679828437910089729
4847,1198,776813006122586112
8775,2749,776477764421582849
29667,15694,776218187788611584
9550,2505,776201512041189376
1826,151,776088309558874112
0,16377,733109473259085826
11628,2632,775842712763396096
13789,3957,775733297511067649
12913,4555,775729177962156032
7338,2932,775364811441967105
8546,1774,774757887117852673
6686,1719,774639367960850432
21615,5467,774314388044058624
10646,3825,773985718767149057
6348,1738,773922276815335424
6549,1614,773704673102557184
5316,1300,773670344028786688
23131,7413,773308813344645120
9400,3230,773247546009456640
9903,4078,773191601376137218
8492,3833,772874595468795904
7975,2327,772826251237199873
0,3353,765222089175556096
6434,1684,772581537120477184
5987,1375,772193097816150016
3775,1121,772152984096632836
3744,735,772117672238714880
2708,466,772114938034814977
3959,935,772102964165111808
8193,2581,771500959348449280
10385,5014,771380787874828288
0,7358,673320125483892736
9067,2896,771136641138319360
6191,1427,771102115905372160
6811,1637,771014280602853380
4889,1191,770787842972942337
5125,1405,770772746032873472
7276,1752,770655131100741632
6283,2079,770414268261011456
6173,1454,770293541604093952
0,3016,741067297519869955
7529,2270,770069132691795970
6363,1667,769695460001013760
5345,1700,769212274728964096
14205,6426,768967618174877700
4149,877,768855135757926400
4079,1180,768609590535680000
4998,1271,768596278481657856
13505,3374,768473849214140416
10766,3498,768193396825583616
4707,1366,767884178016927744
15857,5326,767754923563974658
7434,2318,767500493799231488
12194,3713,767191392800108546
10090,2821,767122150545391618
5004,1340,766793443951665152
3970,783,766693171900387328
5940,1563,766423252247994368
6719,1869,766313309717037056
0,2587,725842282449125380
4182,841,766069192135237633
3702,492,766008557347233792
7148,2130,765719895086596097
5135,1214,765669514012917760
26380,3347,765395759286149124
6995,2140,765371051345846272
6384,1758,764857472309948416
5953,1483,764259772866658304
5323,1450,763183833575481344
7287,2272,763103480118640640
11994,3563,762699853369581568
11097,6324,762471745303355393
10180,4118,762464530748145664
4751,1105,762316483720511488
31485,15334,762035577168560129
5338,1982,761976704302714881
0,3854,685325091882799104
4225,853,761745343629422592
48886,28641,761672828462718981
4085,1180,761599864782348294
0,17802,711694754292109313
5138,1434,761334013550268417
4433,1072,761292941797326848
5264,1545,761227386398633985
3772,959,760893927574605825
6511,1883,760656987008987136
4923,1276,760641126541983744
7477,3561,760539157622059009
26464,11290,760289324994879489
3904,857,760252748986220544
5627,1770,760190172482920448
14508,5564,759923789979262976
6652,1936,759846345045835776
5876,1878,759793413751472128
4629,1168,759557292580806657
8370,2422,759447672080175104
5997,1915,759197380596170757
0,1136,670319122597543936
14325,4093,759099516616339456
6410,1977,759047798813712385
3507,884,758854659951865861
11070,3776,758828647570558976
5671,1593,758740300751708160
3749,988,758474885559615488
4730,2178,758467147756691456
5140,1876,758405694332735488
3348,1042,758355003270651905
2665,368,758041011524427776
6787,3199,757741862451109889
0,7764,679062609438445568
4475,1192,757725635913584640
4503,1090,757611655744393216
0,296,757596935922515969
4266,1038,757596060105707520
14923,6731,757400155624792065
5734,1708,757393098737651713
4463,1399,757354752359432192
6195,1957,756998020437278720
6548,1969,756939201392807936
4975,1275,756651745628057600
10268,3509,756526239901507585
3876,1088,756303244222160896
43397,17386,756288526673649665
6315,1504,756275824932876290
7210,2828,755955658164465664
16194,5264,755206499077615616
20885,10891,755110610942169088
0,7763,679158360810352640
6814,2469,754856550720761857
2553,511,754747081328328704
5217,1920,754481405627957248
3688,722,754449482473992192
7776,2318,754120358878412800
5757,2134,753655892701249536
7783,3487,753420390836346880
5673,1871,753398183879991296
7531,2284,753375662195507200
3316,1021,753294480162295809
3873,945,753026963640573953
6843,1546,752917276685438976
5928,1566,752682082904772608
4316,1529,752660706479239172
7260,3384,752519679353257984
3762,1075,752334354492362752
0,15922,675354114423808004
5865,1802,752173142286692352
5111,1299,751937146756468736
5719,1906,751830383478632448
7801,2991,751598350038929408
4324,1076,751583840003584000
4961,1235,751538705064755201
3169,984,751456786360725504
12321,5764,751250895690731520
6225,1778,751205334442766336
4987,1277,751132866713677825
4710,1337,750868771745763329
12959,4922,750719617786609664
4382,1124,750506196939972608
4494,1129,750383404370300928
3054,939,750147201331068929
3551,1266,750132096795049984
4267,1282,750117017039011840
2996,825,750101891116392448
2136,523,749842022312337408
7709,3253,750071693578735616
3114,880,749833783789154304
3119,600,749828107587248128
2678,770,750023357219962880
3190,886,749821559804690432
3015,801,749823820396163072
5037,2418,749850882955702272
4593,1298,749774184847446016
6003,1617,749417644336513024
2574,523,749403085643063300
8414,3364,749395837562843136
5404,2194,749316899712950272
4732,1500,749064343547944960
3044,777,749036286288207872
10584,3325,748977397119258624
5707,2202,748932629869756416
2732,932,748704826305970176
4667,1552,748699139601563648
4181,1306,748692763684835328
5956,1937,748575526948843521
2165,659,748568890477789184
5138,1210,748346678575497217
3626,742,748324042759938048
3619,698,748307320023703552
5681,2092,747963600220917761
6498,2490,747933264640380928
2886,947,747885821378715648
2775,731,747844091732430850
4759,1133,747816839879757824
2290,548,747600758972026880
3606,1035,747594043354419201
5424,1578,747512645096476672
3804,1022,747461595794673665
5160,1531,747219814297501696
3305,894,747204153907253248
9378,3866,747103470537347072
2852,290,746906454414790656
5871,2086,746872782257008640
5227,1704,746818901464453120
4780,1563,746790588880674817
5933,1755,746726893492264961
4574,1063,746507370331799552
6074,1596,746369457296183296
6778,2143,746131866353270785
3503,794,746056674465751040
3948,1041,745789737584201728
6870,2278,745712555474169857
6940,2483,745433859332898817
8411,2369,745422721861951488
7025,2695,745314852214812672
7117,2195,745057274213834752
2918,597,744995559002476547
7726,2624,744971033824788481
5493,1528,744709961729576961
6648,2055,744334584582643713
153122,75859,744234667679821824
4089,1071,743980013133783040
3587,945,743895842243887104
4382,1352,743609136882065409
17962,6356,743595352218079234
3460,920,743545570443280384
7768,3645,743509040018268160
4138,1193,743253145791258624
6069,1858,743222543746752512
3765,1333,743210550650376192
4322,1917,742528081945055232
7115,3824,742465765840982016
6661,1916,742385888848715776
4224,1334,742161185223630852
5001,1512,742150202493153280
4439,1469,741793243084521472
8001,2677,741743615312056320
3608,800,741438250968047616
8597,3126,741303857943306240
6208,2657,740995091762794496
3331,911,740711781497245696
2785,758,740699677411020802
17772,6650,740676969604493312
34262,12985,740373148126859264
2410,421,740365062632812544
3224,845,740359008121298944
6544,1916,740214022880927744
19489,5766,739979181916880896
3968,1052,739932919620358144
3717,837,739844395122450432
5265,1610,739606132583456768
38590,20648,739544071010713604
6994,2853,739485614966472704
113224,56439,739238016737267712
3684,1112,738885039132401664
3231,770,738883339164192768
4968,1487,738537488050847744
3181,805,738402403196796928
4227,1183,738184431987351552
8560,3254,738166379505848322
2442,621,738156281941262337
5142,1719,737825997765107712
9750,3362,737800291471392769
4918,1276,737678682714693632
10003,4319,737445868014444545
3519,788,737322732686323712
14310,7212,737310236135043073
4137,1681,736736122429014017
3875,1204,736365798558728192
7905,2708,736225169967091712
7694,2892,736010860062248961
3505,1114,735991939804200964
3944,1074,735648574982246401
6012,2278,735635075396599808
12705,4876,735274957656215553
3250,853,735256011242541056
3057,948,735137021832888320
2686,512,734912253380567040
12217,6117,734787682270871557
2442,521,734776349148094464
3494,756,733828109590532096
3578,994,733822298390548480
3057,919,733481999936032768
4078,1239,733460077437296640
2367,520,732732179730554882
3464,865,732726047838507009
3576,758,732585876857835521
7878,2438,732375209307705344
3412,969,731285267307364353
3746,1229,731156013890428928
5995,1922,730924639128584192
4766,2071,730573372497772545
3400,1012,730427195684999168
3726,1031,730211842690162689
4716,1834,730196697196822528
3930,1089,729854727480086528
1687,368,729838572744912896
3877,1214,729823553781108736
5641,2249,729463699031916544
1833,309,729113512279150593
3068,798,728986347021565952
4549,1652,728760633324351488
2696,657,728751174258708481
3231,1010,728653941983072256
4780,1930,728409944555401216
3610,935,728387158260723712
4187,1168,728046957697052672
4445,1625,728035330755047425
4020,1076,728015541730869248
2886,618,727685666293751812
5718,1693,727644511996776449
4366,1181,727524751036526594
3255,720,727314408490168320
2980,793,727286322952441857
3816,1347,727175367849549825
6697,2363,726935081290452993
3734,1476,726887073358159872
3479,976,726828212261629952
4311,1106,726224894078406657
4071,1332,725786708017553410
5079,1724,725729306392027137
3644,1271,724983740980690944
2284,616,724771676257284096
5147,1607,724405714131795968
4221,1726,724049844495605761
2598,542,724046330591645696
4087,1494,724004596214038529
3789,1193,723912928282300416
7481,2843,723688327916998657
2939,863,723673152451149824
5166,1801,723179713569521664
3990,1521,722974578855804928
4850,1589,722613344872505345
4499,1772,721503152168681472
2470,594,721001172476137472
3033,745,720785400575455232
2405,641,720775341267148802
4028,1453,720415104408399872
6197,2427,720389936612913153
2799,946,720340697887457281
3763,1094,720059469649022976
4785,1942,720043168729862144
4708,1687,719991136241082368
4418,1381,719704480703361024
4925,1833,719551372954365953
2727,722,719367753803698176
4323,1195,719339452099911682
3344,918,719332505971724289
3394,1045,718971861124521984
5113,1702,718939234342674432
18374,7776,718631494844080128
2376,467,718613299022180352
2383,986,718540625512165377
2632,511,718459997370335232
4739,1471,718454723171459074
1863,481,718246851380711426
3773,960,718234610254143489
2390,588,717841792524222464
2802,1072,717790026537517056
5618,1790,717537679412486144
3080,814,717421791472431106
6129,1868,717047453128790017
3154,936,717009356240384000
4178,1136,716802957069697028
7980,1529,716791134920552448
2323,203,716439112555823104
2698,1015,716285498407456768
6606,1847,716080861125292034
3117,853,715928416713895936
4542,1640,715733232809955329
3818,1255,715696738036744192
4179,1560,715680780459098112
5322,1514,715360342210166784
2973,669,715342457676890113
2364,629,715220173247131650
5011,1818,715200615434031105
4044,1187,715009744965120000
3634,1006,714982297112612864
4041,1369,714957616947052546
3197,962,714631568564813824
3536,900,714606006421028867
2959,706,714258253283213313
3183,811,714251577813504000
2221,845,714214106660741120
4212,1357,714141403652231168
3208,773,713919455693287424
2768,714,713900595745275905
4739,1331,713761188442677248
4315,1265,713411058820460546
7035,2770,713177538751774721
4342,1436,713175901853319168
11989,4812,712717831029202944
4073,1181,712668618841042948
5184,1520,712438152884043776
3676,1003,712097427059306497
